Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

01:39:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:39:15 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:39:16 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:39:17 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:39:18 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:39:19 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:39:20 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:39:21 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:39:22 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:39:23 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:39:24 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:39:25 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:39:26 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     7  component_conta
01:39:27 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:39:28 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:39:29 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:39:30 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:39:31 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:39:32 PM  1000    205890    0.00    1.98    0.00    0.00    1.98    10  component_conta
01:39:33 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:39:34 PM  1000    205890    1.00    2.00    0.00    0.00    3.00    10  component_conta
01:39:35 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:39:36 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:39:37 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    11  component_conta
01:39:38 PM  1000    205890    1.00    2.00    0.00    0.00    3.00    11  component_conta
01:39:39 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    11  component_conta
01:39:40 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    11  component_conta
01:39:41 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    11  component_conta
01:39:42 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     4  component_conta
01:39:43 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:39:44 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:39:45 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:39:46 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:39:47 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:39:48 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:39:49 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:39:50 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:39:51 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:39:52 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:39:53 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:39:54 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:39:55 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:39:56 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:39:57 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     6  component_conta
01:39:58 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:39:59 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:40:00 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:01 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:40:02 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:40:03 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:04 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:40:05 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:40:06 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:40:07 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:40:08 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:40:09 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:40:10 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     2  component_conta
01:40:11 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:40:12 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     2  component_conta
01:40:13 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:40:14 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:40:15 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:40:16 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     4  component_conta
01:40:17 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:18 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:40:19 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:20 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:40:21 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:40:22 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:40:23 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:40:24 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:40:25 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:40:26 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:40:27 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:40:28 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:40:29 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:40:30 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:40:31 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:40:32 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:40:33 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:40:34 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:40:35 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:40:36 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:40:37 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     6  component_conta
01:40:38 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:39 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:40:40 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:40:41 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:40:42 PM  1000    205890    0.99    0.99    0.00    0.00    1.98    10  component_conta
01:40:43 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:44 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:40:45 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:40:46 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:40:47 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:40:48 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:40:49 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:40:50 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:40:51 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:40:52 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:53 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:40:54 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:40:55 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:40:56 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:40:57 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     7  component_conta
01:40:58 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:40:59 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:41:00 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     7  component_conta
01:41:01 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:41:02 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:41:03 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:41:04 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     7  component_conta
01:41:05 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:41:06 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     7  component_conta
01:41:07 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:41:08 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:41:09 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:41:10 PM  1000    205890    1.00    2.00    0.00    0.00    3.00    10  component_conta
01:41:11 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:41:12 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:41:13 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:41:14 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:41:15 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:41:16 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:41:17 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:41:18 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:19 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:41:20 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:41:21 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:22 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:41:23 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:24 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:25 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:26 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     1  component_conta
01:41:27 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     1  component_conta
01:41:28 PM  1000    205890    1.00    2.00    0.00    0.00    3.00    10  component_conta
01:41:29 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:41:30 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:31 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:32 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     0  component_conta
01:41:33 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:34 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:35 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:41:36 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:37 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:38 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:39 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:41:40 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:41 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:41:42 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:41:43 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:41:44 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:45 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:46 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:41:47 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
