Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

10:47:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:47:21 AM  1000     60808   29.00   12.00    0.00    0.00   41.00     9  ruby
10:47:22 AM  1000     60808   29.00    9.00    0.00    0.00   38.00     2  ruby
10:47:23 AM  1000     60808   33.00    9.00    0.00    1.00   42.00     2  ruby
10:47:24 AM  1000     60808   36.00    9.00    0.00    1.00   45.00     0  ruby
10:47:25 AM  1000     60808   30.00    9.00    0.00    0.00   39.00     6  ruby
10:47:26 AM  1000     60808   33.00    8.00    0.00    0.00   41.00     7  ruby
10:47:27 AM  1000     60808   32.00    8.00    0.00    0.00   40.00     8  ruby
10:47:28 AM  1000     60808   30.00   10.00    0.00    0.00   40.00     7  ruby
10:47:29 AM  1000     60808   30.00    8.00    0.00    0.00   38.00    10  ruby
10:47:30 AM  1000     60808   28.00   11.00    0.00    0.00   39.00     6  ruby
10:47:31 AM  1000     60808   30.00    9.00    0.00    0.00   39.00    10  ruby
10:47:32 AM  1000     60808   28.00   10.00    0.00    0.00   38.00     8  ruby
10:47:33 AM  1000     60808   30.00    9.00    0.00    0.00   39.00     4  ruby
10:47:34 AM  1000     60808   33.00   10.00    0.00    1.00   43.00     2  ruby
10:47:35 AM  1000     60808   26.00   11.00    0.00    0.00   37.00     9  ruby
10:47:36 AM  1000     60808   12.00   40.00    0.00    0.00   52.00    10  ruby
10:47:37 AM  1000     60808    0.00   46.00    0.00    0.00   46.00    10  ruby
10:47:38 AM  1000     60808    0.00   41.00    0.00    1.00   41.00     1  ruby
10:47:39 AM  1000     60808    0.00   47.00    0.00    0.00   47.00     7  ruby
10:47:40 AM  1000     60808    0.00   43.00    0.00    0.00   43.00     4  ruby
10:47:41 AM  1000     60808    0.00   39.00    0.00    0.00   39.00     3  ruby
10:47:42 AM  1000     60808    0.00   40.00    0.00    0.00   40.00     8  ruby
10:47:43 AM  1000     60808    0.00   40.00    0.00    0.00   40.00     8  ruby
10:47:44 AM  1000     60808    0.00   41.00    0.00    1.00   41.00    10  ruby
10:47:45 AM  1000     60808    0.00   38.00    0.00    0.00   38.00     8  ruby
10:47:46 AM  1000     60808    0.00   40.00    0.00    0.00   40.00     8  ruby
10:47:47 AM  1000     60808    0.00   41.00    0.00    0.00   41.00     7  ruby
10:47:48 AM  1000     60808    0.00   38.00    0.00    1.00   38.00    11  ruby
10:47:49 AM  1000     60808   26.00   13.00    0.00    0.00   39.00    10  ruby
10:47:50 AM  1000     60808   25.00   12.00    0.00    0.00   37.00    10  ruby
10:47:51 AM  1000     60808   34.00   10.00    0.00    0.00   44.00     6  ruby
10:47:52 AM  1000     60808   29.00   10.00    0.00    0.00   39.00     9  ruby
10:47:53 AM  1000     60808   30.00    8.00    0.00    0.00   38.00     0  ruby
10:47:54 AM  1000     60808   33.00   10.00    0.00    0.00   43.00     6  ruby
10:47:55 AM  1000     60808   28.00   11.00    0.00    0.00   39.00     4  ruby
10:47:56 AM  1000     60808   36.00   11.00    0.00    0.00   47.00     6  ruby
10:47:57 AM  1000     60808   40.00    9.00    0.00    1.00   49.00     5  ruby
10:47:58 AM  1000     60808   43.00   10.00    0.00    4.00   53.00     1  ruby
10:47:59 AM  1000     60808   41.00   10.00    0.00    1.00   51.00     7  ruby
10:48:00 AM  1000     60808   38.00   10.00    0.00    0.00   48.00     2  ruby
10:48:01 AM  1000     60808   38.00    9.00    0.00    0.00   47.00     7  ruby
10:48:02 AM  1000     60808   34.00   10.00    0.00    1.00   44.00    10  ruby
10:48:03 AM  1000     60808   31.00    9.00    0.00    0.00   40.00    11  ruby
10:48:04 AM  1000     60808   33.00    8.00    0.00    0.00   41.00    11  ruby
10:48:05 AM  1000     60808   32.00    9.00    0.00    0.00   41.00     9  ruby
10:48:06 AM  1000     60808   30.00   11.00    0.00    0.00   41.00    11  ruby
10:48:07 AM  1000     60808   32.00    9.00    0.00    0.00   41.00     2  ruby
10:48:08 AM  1000     60808   28.00   14.00    0.00    1.00   42.00    10  ruby
10:48:09 AM  1000     60808   12.00   28.00    0.00    0.00   40.00     6  ruby
10:48:10 AM  1000     60808   11.00   30.00    0.00    0.00   41.00     0  ruby
10:48:11 AM  1000     60808   13.00   28.00    0.00    0.00   41.00     8  ruby
10:48:12 AM  1000     60808    9.00   31.00    0.00    0.00   40.00     8  ruby
10:48:13 AM  1000     60808   15.00   37.00    0.00    1.00   52.00     9  ruby
10:48:14 AM  1000     60808   27.00   16.00    0.00    0.00   43.00     0  ruby
10:48:15 AM  1000     60808   38.00   14.00    0.00    1.00   52.00     7  ruby
10:48:16 AM  1000     60808   34.00   10.00    0.00    1.00   44.00     0  ruby
10:48:17 AM  1000     60808   34.00    9.00    0.00    0.00   43.00     6  ruby
10:48:18 AM  1000     60808   32.00   10.00    0.00    0.00   42.00     7  ruby
10:48:19 AM  1000     60808   27.00   13.00    0.00    0.00   40.00     8  ruby
10:48:20 AM  1000     60808   31.00    9.00    0.00    0.00   40.00    11  ruby
10:48:21 AM  1000     60808   32.00    8.00    0.00    0.00   40.00    10  ruby
10:48:22 AM  1000     60808   30.00   10.00    0.00    0.00   40.00     7  ruby
10:48:23 AM  1000     60808   33.66    8.91    0.00    0.99   42.57    10  ruby
10:48:24 AM  1000     60808   32.00    9.00    0.00    0.00   41.00     9  ruby
10:48:25 AM  1000     60808   31.00    9.00    0.00    0.00   40.00     8  ruby
10:48:26 AM  1000     60808   31.00    9.00    0.00    0.00   40.00     9  ruby
10:48:27 AM  1000     60808   31.00    8.00    0.00    0.00   39.00     9  ruby
10:48:28 AM  1000     60808   31.00    8.00    0.00    0.00   39.00     7  ruby
10:48:29 AM  1000     60808   31.00    9.00    0.00    0.00   40.00     2  ruby
10:48:30 AM  1000     60808   29.00   10.00    0.00    1.00   39.00     9  ruby
10:48:31 AM  1000     60808   31.00    9.00    0.00    0.00   40.00     9  ruby
10:48:32 AM  1000     60808   29.00   10.00    0.00    0.00   39.00     4  ruby
10:48:33 AM  1000     60808   30.00   10.00    0.00    0.00   40.00     2  ruby
10:48:34 AM  1000     60808   34.00    9.00    0.00    0.00   43.00    10  ruby
10:48:35 AM  1000     60808   37.00   10.00    0.00    1.00   47.00     6  ruby
10:48:36 AM  1000     60808   46.00   13.00    0.00    2.00   59.00    10  ruby
10:48:37 AM  1000     60808   34.00    9.00    0.00    1.00   43.00     7  ruby
10:48:38 AM  1000     60808   12.00   31.00    0.00    1.00   43.00     8  ruby
10:48:39 AM  1000     60808    4.00   38.00    0.00    0.00   42.00    11  ruby
10:48:40 AM  1000     60808   11.00   27.00    0.00    0.00   38.00     7  ruby
10:48:41 AM  1000     60808   24.00   15.00    0.00    0.00   39.00     8  ruby
10:48:42 AM  1000     60808   24.00   15.00    0.00    0.00   39.00    10  ruby
10:48:43 AM  1000     60808   28.00   11.00    0.00    0.00   39.00     2  ruby
10:48:44 AM  1000     60808   28.00   10.00    0.00    0.00   38.00    11  ruby
