Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

10:55:13 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:55:14 AM  1000     70973   49.00    9.00    0.00    0.00   58.00     6  ruby
10:55:15 AM  1000     70973   51.00    8.00    0.00    1.00   59.00     8  ruby
10:55:16 AM  1000     70973   56.00    6.00    0.00    0.00   62.00     3  ruby
10:55:17 AM  1000     70973   48.00    7.00    0.00    0.00   55.00     2  ruby
10:55:18 AM  1000     70973   52.00    7.00    0.00    0.00   59.00     8  ruby
10:55:19 AM  1000     70973   51.00    8.00    0.00    0.00   59.00     0  ruby
10:55:20 AM  1000     70973   53.00    7.00    0.00    0.00   60.00    11  ruby
10:55:21 AM  1000     70973   48.00    8.00    0.00    0.00   56.00     8  ruby
10:55:22 AM  1000     70973   49.00    7.00    0.00    1.00   56.00    10  ruby
10:55:23 AM  1000     70973   52.00    8.00    0.00    0.00   60.00    11  ruby
10:55:24 AM  1000     70973   55.00    8.00    0.00    0.00   63.00     5  ruby
10:55:25 AM  1000     70973   59.00    8.00    0.00    2.00   67.00    10  ruby
10:55:26 AM  1000     70973   51.00    7.00    0.00    0.00   58.00     6  ruby
10:55:27 AM  1000     70973   56.00    6.00    0.00    0.00   62.00    11  ruby
10:55:28 AM  1000     70973   47.00    8.00    0.00    0.00   55.00    11  ruby
10:55:29 AM  1000     70973   48.00    9.00    0.00    0.00   57.00    11  ruby
10:55:30 AM  1000     70973   50.00    7.00    0.00    0.00   57.00    10  ruby
10:55:31 AM  1000     70973   50.00    6.00    0.00    1.00   56.00     0  ruby
10:55:32 AM  1000     70973   49.00    8.00    0.00    0.00   57.00     9  ruby
10:55:33 AM  1000     70973   49.00    7.00    0.00    0.00   56.00     8  ruby
10:55:34 AM  1000     70973   48.00   11.00    0.00    0.00   59.00     2  ruby
10:55:35 AM  1000     70973   43.00   16.00    0.00    0.00   59.00    10  ruby
10:55:36 AM  1000     70973   46.00   10.00    0.00    0.00   56.00     0  ruby
10:55:37 AM  1000     70973   48.00    7.00    0.00    0.00   55.00     9  ruby
10:55:38 AM  1000     70973   47.00    8.00    0.00    0.00   55.00     6  ruby
10:55:39 AM  1000     70973   49.00    7.00    0.00    0.00   56.00    10  ruby
10:55:40 AM  1000     70973   48.00    7.00    0.00    0.00   55.00     2  ruby
10:55:41 AM  1000     70973   47.00    7.00    0.00    0.00   54.00     9  ruby
10:55:42 AM  1000     70973   50.00    6.00    0.00    0.00   56.00     8  ruby
10:55:43 AM  1000     70973   48.00    7.00    0.00    0.00   55.00    10  ruby
10:55:44 AM  1000     70973   49.00    6.00    0.00    0.00   55.00     9  ruby
10:55:45 AM  1000     70973   49.00    8.00    0.00    0.00   57.00    11  ruby
10:55:46 AM  1000     70973   52.00    5.00    0.00    1.00   57.00    10  ruby
10:55:47 AM  1000     70973   50.00    6.00    0.00    0.00   56.00     6  ruby
10:55:48 AM  1000     70973   48.00    7.00    0.00    0.00   55.00     3  ruby
10:55:49 AM  1000     70973   50.00    6.00    0.00    0.00   56.00     9  ruby
10:55:50 AM  1000     70973   48.00    8.00    0.00    0.00   56.00    11  ruby
10:55:51 AM  1000     70973   48.00    6.00    0.00    0.00   54.00     8  ruby
