Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

11:07:38 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:07:39 AM  1000     79599    2.00    3.00    0.00    0.00    5.00     9  ruby
11:07:40 AM  1000     79599    3.00    3.00    0.00    0.00    6.00    11  ruby
11:07:41 AM  1000     79599    2.00    2.00    0.00    0.00    4.00     0  ruby
11:07:42 AM  1000     79599    4.00    3.00    0.00    0.00    7.00    11  ruby
11:07:43 AM  1000     79599    4.00    2.00    0.00    0.00    6.00    11  ruby
11:07:44 AM  1000     79599    3.00    3.00    0.00    0.00    6.00     9  ruby
11:07:45 AM  1000     79599    3.00    3.00    0.00    1.00    6.00     9  ruby
11:07:46 AM  1000     79599    4.00    3.00    0.00    0.00    7.00     0  ruby
11:07:47 AM  1000     79599    2.00    3.00    0.00    0.00    5.00     9  ruby
11:07:48 AM  1000     79599    3.00    3.00    0.00    0.00    6.00     7  ruby
11:07:49 AM  1000     79599    3.00    3.00    0.00    0.00    6.00    11  ruby
11:07:50 AM  1000     79599    3.00    3.00    0.00    0.00    6.00    10  ruby
11:07:51 AM  1000     79599    3.00    4.00    0.00    0.00    7.00     7  ruby
11:07:52 AM  1000     79599    2.00    3.00    0.00    0.00    5.00     9  ruby
11:07:53 AM  1000     79599    3.00    4.00    0.00    0.00    7.00     9  ruby
11:07:54 AM  1000     79599    2.00    4.00    0.00    0.00    6.00    11  ruby
11:07:55 AM  1000     79599    2.00    3.00    0.00    0.00    5.00     2  ruby
11:07:56 AM  1000     79599    3.00    3.00    0.00    0.00    6.00     7  ruby
11:07:57 AM  1000     79599    3.96    1.98    0.00    0.00    5.94    11  ruby
11:07:58 AM  1000     79599    3.00    3.00    0.00    0.00    6.00    11  ruby
11:07:59 AM  1000     79599    3.00    2.00    0.00    0.00    5.00    11  ruby
11:08:00 AM  1000     79599    3.00    5.00    0.00    0.00    8.00     1  ruby
11:08:01 AM  1000     79599    2.00    3.00    0.00    0.00    5.00     9  ruby
