Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

11:02:08 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:02:09 AM  1000     79599   92.00   30.00    0.00    0.00  122.00     4  ruby
11:02:10 AM  1000     79599   99.00   32.00    0.00    0.00  131.00     9  ruby
11:02:11 AM  1000     79599  100.00   31.00    0.00    0.00  131.00     7  ruby
11:02:12 AM  1000     79599   91.00   32.00    0.00    0.00  123.00    10  ruby
11:02:13 AM  1000     79599   98.00   31.00    0.00    0.00  129.00     9  ruby
11:02:14 AM  1000     79599  100.00   32.00    0.00    0.00  132.00     2  ruby
11:02:15 AM  1000     79599  101.00   33.00    0.00    1.00  134.00     0  ruby
11:02:16 AM  1000     79599   95.00   31.00    0.00    0.00  126.00     8  ruby
11:02:17 AM  1000     79599  102.00   29.00    0.00    0.00  131.00    11  ruby
11:02:18 AM  1000     79599  100.00   26.00    0.00    0.00  126.00     9  ruby
11:02:19 AM  1000     79599   89.00   35.00    0.00    1.00  124.00     2  ruby
11:02:20 AM  1000     79599   99.00   31.00    0.00    0.00  130.00     9  ruby
11:02:21 AM  1000     79599   94.00   38.00    0.00    0.00  132.00     2  ruby
11:02:22 AM  1000     79599   94.00   31.00    0.00    0.00  125.00    10  ruby
11:02:23 AM  1000     79599   98.00   34.00    0.00    0.00  132.00     6  ruby
11:02:24 AM  1000     79599   98.00   34.00    0.00    0.00  132.00     6  ruby
11:02:25 AM  1000     79599   97.00   29.00    0.00    1.00  126.00     2  ruby
11:02:26 AM  1000     79599   97.00   34.00    0.00    0.00  131.00     8  ruby
11:02:27 AM  1000     79599   98.00   32.00    0.00    0.00  130.00     4  ruby
11:02:28 AM  1000     79599   95.00   35.00    0.00    0.00  130.00     3  ruby
11:02:29 AM  1000     79599  115.00   37.00    0.00    0.00  152.00     6  ruby
11:02:30 AM  1000     79599  117.00   37.00    0.00    0.00  154.00     7  ruby
11:02:31 AM  1000     79599  116.00   39.00    0.00    0.00  155.00     4  ruby
11:02:32 AM  1000     79599  116.00   37.00    0.00    0.00  153.00     1  ruby
11:02:33 AM  1000     79599  118.00   33.00    0.00    1.00  151.00    10  ruby
11:02:34 AM  1000     79599  122.00   34.00    0.00    0.00  156.00     1  ruby
11:02:35 AM  1000     79599  120.00   35.00    0.00    0.00  155.00     5  ruby
11:02:36 AM  1000     79599  120.00   34.00    0.00    0.00  154.00     8  ruby
11:02:37 AM  1000     79599  121.00   32.00    0.00    0.00  153.00     2  ruby
11:02:38 AM  1000     79599  118.00   29.00    0.00    1.00  147.00    10  ruby
11:02:39 AM  1000     79599  116.00   38.00    0.00    0.00  154.00     8  ruby
11:02:40 AM  1000     79599  121.00   33.00    0.00    0.00  154.00     8  ruby
11:02:41 AM  1000     79599  118.00   37.00    0.00    0.00  155.00     9  ruby
11:02:42 AM  1000     79599  116.00   37.00    0.00    0.00  153.00     2  ruby
11:02:43 AM  1000     79599  117.00   39.00    0.00    0.00  156.00     0  ruby
11:02:44 AM  1000     79599  118.00   36.00    0.00    0.00  154.00    10  ruby
11:02:45 AM  1000     79599  116.00   39.00    0.00    0.00  155.00     7  ruby
11:02:46 AM  1000     79599  121.00   33.00    0.00    0.00  154.00    10  ruby
11:02:47 AM  1000     79599  116.00   39.00    0.00    1.00  155.00     3  ruby
11:02:48 AM  1000     79599  121.00   31.00    0.00    0.00  152.00     0  ruby
11:02:49 AM  1000     79599  117.00   38.00    0.00    0.00  155.00    10  ruby
11:02:50 AM  1000     79599  118.00   38.00    0.00    0.00  156.00     8  ruby
11:02:51 AM  1000     79599  122.00   35.00    0.00    0.00  157.00     3  ruby
