Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

10:13:48 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:13:49 AM  1000     38360   10.00    6.00    0.00    0.00   16.00    10  ruby
10:13:50 AM  1000     38360    9.00    4.00    0.00    0.00   13.00     7  ruby
10:13:51 AM  1000     38360   14.00    4.00    0.00    1.00   18.00     0  ruby
10:13:52 AM  1000     38360   13.00    3.00    0.00    0.00   16.00    11  ruby
10:13:53 AM  1000     38360   10.00    4.00    0.00    0.00   14.00     0  ruby
10:13:54 AM  1000     38360   16.00    4.00    0.00    0.00   20.00     7  ruby
10:13:55 AM  1000     38360   13.00    4.00    0.00    0.00   17.00     7  ruby
10:13:56 AM  1000     38360    9.00    5.00    0.00    0.00   14.00    10  ruby
10:13:57 AM  1000     38360   11.00    4.00    0.00    0.00   15.00    10  ruby
10:13:58 AM  1000     38360   12.00    4.00    0.00    0.00   16.00     0  ruby
10:13:59 AM  1000     38360   12.00    3.00    0.00    0.00   15.00    10  ruby
10:14:00 AM  1000     38360   12.00    3.00    0.00    0.00   15.00     9  ruby
10:14:01 AM  1000     38360   10.00    4.00    0.00    0.00   14.00     9  ruby
10:14:02 AM  1000     38360   11.00    4.00    0.00    0.00   15.00     8  ruby
10:14:03 AM  1000     38360    8.00    5.00    0.00    0.00   13.00    11  ruby
10:14:04 AM  1000     38360   11.00    4.00    0.00    0.00   15.00    11  ruby
10:14:05 AM  1000     38360   10.00    4.00    0.00    0.00   14.00     0  ruby
10:14:06 AM  1000     38360   11.00    4.00    0.00    0.00   15.00     8  ruby
10:14:07 AM  1000     38360   10.00    4.00    0.00    0.00   14.00     0  ruby
10:14:08 AM  1000     38360   11.00    5.00    0.00    0.00   16.00     6  ruby
10:14:09 AM  1000     38360   12.00    3.00    0.00    0.00   15.00    11  ruby
10:14:10 AM  1000     38360   12.00    4.00    0.00    1.00   16.00     9  ruby
10:14:11 AM  1000     38360   12.00    2.00    0.00    0.00   14.00    11  ruby
10:14:12 AM  1000     38360   11.00    5.00    0.00    0.00   16.00     8  ruby
