Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

10:31:53 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:31:54 AM  1000     49131   24.00    7.00    0.00    0.00   31.00     8  ruby
10:31:55 AM  1000     49131   23.00    7.00    0.00    0.00   30.00     6  ruby
10:31:56 AM  1000     49131   19.00    8.00    0.00    1.00   27.00     8  ruby
10:31:57 AM  1000     49131   24.00    7.00    0.00    3.00   31.00    11  ruby
10:31:58 AM  1000     49131   26.00    6.00    0.00    1.00   32.00     8  ruby
10:31:59 AM  1000     49131   24.00    7.00    0.00    0.00   31.00     7  ruby
10:32:00 AM  1000     49131   22.00    7.00    0.00    0.00   29.00     0  ruby
10:32:01 AM  1000     49131   22.00    8.00    0.00    1.00   30.00    11  ruby
10:32:02 AM  1000     49131   22.00    7.00    0.00    1.00   29.00     9  ruby
10:32:03 AM  1000     49131   27.00    9.00    0.00    0.00   36.00     4  ruby
10:32:04 AM  1000     49131   22.00    7.00    0.00    0.00   29.00     6  ruby
10:32:05 AM  1000     49131   22.00    7.00    0.00    0.00   29.00     8  ruby
10:32:06 AM  1000     49131   23.00    7.00    0.00    1.00   30.00    10  ruby
10:32:07 AM  1000     49131   21.00    8.00    0.00    0.00   29.00     4  ruby
10:32:08 AM  1000     49131   28.00    6.00    0.00    1.00   34.00     0  ruby
10:32:09 AM  1000     49131   26.00    9.00    0.00    1.00   35.00    10  ruby
10:32:10 AM  1000     49131   24.00    8.00    0.00    1.00   32.00    11  ruby
10:32:11 AM  1000     49131   26.00    9.00    0.00    0.00   35.00    10  ruby
10:32:12 AM  1000     49131   24.00    9.00    0.00    0.00   33.00    10  ruby
10:32:13 AM  1000     49131   25.00    8.00    0.00    0.00   33.00    11  ruby
10:32:14 AM  1000     49131   24.00    9.00    0.00    0.00   33.00    10  ruby
10:32:15 AM  1000     49131   26.00    7.00    0.00    1.00   33.00     4  ruby
10:32:16 AM  1000     49131   30.00    4.00    0.00    0.00   34.00     8  ruby
10:32:17 AM  1000     49131   25.00    6.00    0.00    0.00   31.00     0  ruby
10:32:18 AM  1000     49131   26.00    5.00    0.00    1.00   31.00     7  ruby
10:32:19 AM  1000     49131   23.00    7.00    0.00    1.00   30.00     9  ruby
10:32:20 AM  1000     49131   26.00    7.00    0.00    0.00   33.00    10  ruby
10:32:21 AM  1000     49131   23.00    7.00    0.00    1.00   30.00     9  ruby
10:32:22 AM  1000     49131   26.00    7.00    0.00    0.00   33.00     4  ruby
10:32:23 AM  1000     49131   25.00    5.00    0.00    1.00   30.00     0  ruby
10:32:24 AM  1000     49131   23.00    7.00    0.00    0.00   30.00     6  ruby
10:32:25 AM  1000     49131   22.00    6.00    0.00    1.00   28.00    11  ruby
10:32:26 AM  1000     49131   24.00    7.00    0.00    0.00   31.00    11  ruby
10:32:27 AM  1000     49131   25.00    9.00    0.00    0.00   34.00     7  ruby
10:32:28 AM  1000     49131   23.00    9.00    0.00    1.00   32.00    11  ruby
10:32:29 AM  1000     49131   24.00    9.00    0.00    0.00   33.00     9  ruby
10:32:30 AM  1000     49131   25.00    8.00    0.00    1.00   33.00     8  ruby
10:32:31 AM  1000     49131   26.00    6.00    0.00    0.00   32.00     9  ruby
10:32:32 AM  1000     49131   23.00   10.00    0.00    0.00   33.00    10  ruby
10:32:33 AM  1000     49131   25.00    7.00    0.00    0.00   32.00    11  ruby
10:32:34 AM  1000     49131   22.00    9.00    0.00    1.00   31.00     0  ruby
10:32:35 AM  1000     49131   23.00    8.00    0.00    0.00   31.00    10  ruby
10:32:36 AM  1000     49131   25.00    7.00    0.00    0.00   32.00    11  ruby
10:32:37 AM  1000     49131   22.00   11.00    0.00    0.00   33.00    10  ruby
10:32:38 AM  1000     49131   23.00    7.00    0.00    0.00   30.00    10  ruby
10:32:39 AM  1000     49131   25.00    8.00    0.00    1.00   33.00    11  ruby
10:32:40 AM  1000     49131   23.00    7.00    0.00    0.00   30.00    11  ruby
10:32:41 AM  1000     49131   26.00    8.00    0.00    0.00   34.00     8  ruby
10:32:42 AM  1000     49131   25.00    8.00    0.00    1.00   33.00    11  ruby
10:32:43 AM  1000     49131   26.00    8.00    0.00    0.00   34.00     2  ruby
10:32:44 AM  1000     49131   27.00    7.00    0.00    0.00   34.00     8  ruby
10:32:45 AM  1000     49131   27.00    6.00    0.00    0.00   33.00     9  ruby
10:32:46 AM  1000     49131   26.00    8.00    0.00    0.00   34.00     0  ruby
10:32:47 AM  1000     49131   24.00    9.00    0.00    0.00   33.00     9  ruby
10:32:48 AM  1000     49131   22.00    8.00    0.00    1.00   30.00    10  ruby
10:32:49 AM  1000     49131   24.00    8.00    0.00    0.00   32.00     8  ruby
10:32:50 AM  1000     49131   22.00    8.00    0.00    0.00   30.00     7  ruby
10:32:51 AM  1000     49131   24.00    8.00    0.00    0.00   32.00     2  ruby
10:32:52 AM  1000     49131   24.00    6.00    0.00    0.00   30.00     2  ruby
10:32:53 AM  1000     49131   25.00    7.00    0.00    1.00   32.00    10  ruby
10:32:54 AM  1000     49131   23.00    7.00    0.00    0.00   30.00    10  ruby
10:32:55 AM  1000     49131   27.00    5.00    0.00    0.00   32.00     6  ruby
10:32:56 AM  1000     49131   22.00    7.00    0.00    1.00   29.00    10  ruby
10:32:57 AM  1000     49131   29.00    5.00    0.00    0.00   34.00     8  ruby
10:32:58 AM  1000     49131   21.00    7.00    0.00    1.00   28.00     8  ruby
10:32:59 AM  1000     49131   22.00    8.00    0.00    0.00   30.00     6  ruby
10:33:00 AM  1000     49131   23.00    7.00    0.00    0.00   30.00     8  ruby
10:33:01 AM  1000     49131   29.00    4.00    0.00    1.00   33.00    10  ruby
10:33:02 AM  1000     49131   21.00    7.00    0.00    1.00   28.00     3  ruby
10:33:03 AM  1000     49131   22.00    6.00    0.00    0.00   28.00    11  ruby
10:33:04 AM  1000     49131   23.00    7.00    0.00    1.00   30.00    11  ruby
10:33:05 AM  1000     49131   24.00    7.00    0.00    1.00   31.00     3  ruby
10:33:06 AM  1000     49131   25.00    7.00    0.00    0.00   32.00    10  ruby
10:33:07 AM  1000     49131   25.00    7.00    0.00    1.00   32.00    10  ruby
10:33:08 AM  1000     49131   24.00    8.00    0.00    0.00   32.00    10  ruby
10:33:09 AM  1000     49131   28.00    6.00    0.00    0.00   34.00     0  ruby
10:33:10 AM  1000     49131   27.00    6.00    0.00    0.00   33.00     7  ruby
10:33:11 AM  1000     49131   26.00    9.00    0.00    1.00   35.00     9  ruby
10:33:12 AM  1000     49131   25.00    7.00    0.00    0.00   32.00     2  ruby
10:33:13 AM  1000     49131   23.00    8.00    0.00    0.00   31.00     6  ruby
10:33:14 AM  1000     49131   27.00    6.00    0.00    0.00   33.00     8  ruby
10:33:15 AM  1000     49131   27.00    8.00    0.00    0.00   35.00    11  ruby
10:33:16 AM  1000     49131   27.00    8.00    0.00    0.00   35.00     0  ruby
10:33:17 AM  1000     49131   28.00    6.00    0.00    1.00   34.00     2  ruby
10:33:18 AM  1000     49131   26.00    8.00    0.00    0.00   34.00     5  ruby
10:33:19 AM  1000     49131   25.00    7.00    0.00    1.00   32.00     1  ruby
10:33:20 AM  1000     49131   27.00    6.00    0.00    1.00   33.00     8  ruby
10:33:21 AM  1000     49131   31.00    5.00    0.00    0.00   36.00     9  ruby
10:33:22 AM  1000     49131   31.00    7.00    0.00    4.00   38.00     4  ruby
10:33:23 AM  1000     49131   24.00    7.00    0.00    1.00   31.00    11  ruby
10:33:24 AM  1000     49131   23.00    6.00    0.00    1.00   29.00     9  ruby
10:33:25 AM  1000     49131   24.00    7.00    0.00    0.00   31.00     7  ruby
10:33:26 AM  1000     49131   22.00    8.00    0.00    0.00   30.00     4  ruby
10:33:27 AM  1000     49131   26.00    5.00    0.00    0.00   31.00    11  ruby
10:33:28 AM  1000     49131   26.00    6.00    0.00    1.00   32.00     3  ruby
