Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

11:16:17 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:16:18 AM  1000     91814   31.00   13.00    0.00    1.00   44.00     4  component_conta
11:16:19 AM  1000     91814   29.00   12.00    0.00    0.00   41.00     3  component_conta
11:16:20 AM  1000     91814   34.00    9.00    0.00    0.00   43.00     1  component_conta
11:16:21 AM  1000     91814   37.00   11.00    0.00    0.00   48.00     7  component_conta
11:16:22 AM  1000     91814   40.00   10.00    0.00    1.00   50.00     2  component_conta
11:16:23 AM  1000     91814   34.00   13.00    0.00    0.00   47.00     7  component_conta
11:16:24 AM  1000     91814   35.00    9.00    0.00    0.00   44.00     9  component_conta
11:16:25 AM  1000     91814   36.00   12.00    0.00    1.00   48.00     1  component_conta
11:16:26 AM  1000     91814   38.00    9.00    0.00    0.00   47.00     6  component_conta
11:16:27 AM  1000     91814   36.00   10.00    0.00    0.00   46.00    10  component_conta
11:16:28 AM  1000     91814   40.00    9.00    0.00    0.00   49.00     4  component_conta
11:16:29 AM  1000     91814   36.00    9.00    0.00    0.00   45.00     4  component_conta
11:16:30 AM  1000     91814   37.00   10.00    0.00    1.00   47.00     3  component_conta
11:16:31 AM  1000     91814   34.00   12.00    0.00    0.00   46.00     0  component_conta
11:16:32 AM  1000     91814   37.00   10.00    0.00    0.00   47.00    10  component_conta
11:16:33 AM  1000     91814   37.00   10.00    0.00    0.00   47.00     0  component_conta
11:16:34 AM  1000     91814   36.00   10.00    0.00    4.00   46.00     1  component_conta
11:16:35 AM  1000     91814   38.00   10.00    0.00    0.00   48.00     4  component_conta
11:16:36 AM  1000     91814   36.00    9.00    0.00    1.00   45.00     0  component_conta
11:16:37 AM  1000     91814   36.00   11.00    0.00    0.00   47.00     3  component_conta
11:16:38 AM  1000     91814   34.00   11.00    0.00    0.00   45.00     0  component_conta
11:16:39 AM  1000     91814   44.00   12.00    0.00    1.00   56.00     6  component_conta
11:16:40 AM  1000     91814   43.00   11.00    0.00    0.00   54.00     8  component_conta
11:16:41 AM  1000     91814   44.00   12.00    0.00    0.00   56.00     6  component_conta
11:16:42 AM  1000     91814   47.00    9.00    0.00    0.00   56.00     9  component_conta
11:16:43 AM  1000     91814   46.00   10.00    0.00    0.00   56.00     1  component_conta
11:16:44 AM  1000     91814   48.00   11.00    0.00    0.00   59.00     3  component_conta
11:16:45 AM  1000     91814   50.00   11.00    0.00    0.00   61.00    11  component_conta
11:16:46 AM  1000     91814   49.00   11.00    0.00    0.00   60.00     8  component_conta
11:16:47 AM  1000     91814   51.00   12.00    0.00    0.00   63.00     1  component_conta
11:16:48 AM  1000     91814   49.00   10.00    0.00    0.00   59.00     2  component_conta
11:16:49 AM  1000     91814   53.00   11.00    0.00    1.00   64.00    10  component_conta
11:16:50 AM  1000     91814   49.00   10.00    0.00    1.00   59.00     4  component_conta
11:16:51 AM  1000     91814   38.00   10.00    0.00    0.00   48.00     4  component_conta
11:16:52 AM  1000     91814   38.00    9.00    0.00    0.00   47.00     5  component_conta
