Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

11:34:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:34:44 AM  1000    107231   39.00   18.00    0.00    0.00   57.00     2  component_conta
11:34:45 AM  1000    107231   42.00   13.00    0.00    0.00   55.00     0  component_conta
11:34:46 AM  1000    107231   60.00   18.00    0.00    1.00   78.00     7  component_conta
11:34:47 AM  1000    107231   52.00   17.00    0.00    0.00   69.00    10  component_conta
11:34:48 AM  1000    107231   44.00   16.00    0.00    0.00   60.00     5  component_conta
11:34:49 AM  1000    107231   44.00   15.00    0.00    0.00   59.00     0  component_conta
11:34:50 AM  1000    107231   40.00   17.00    0.00    0.00   57.00    10  component_conta
11:34:51 AM  1000    107231   42.00   15.00    0.00    0.00   57.00     9  component_conta
11:34:52 AM  1000    107231   48.00   16.00    0.00    0.00   64.00     3  component_conta
11:34:53 AM  1000    107231   50.00   15.00    0.00    1.00   65.00     7  component_conta
11:34:54 AM  1000    107231   68.00   16.00    0.00    2.00   84.00    11  component_conta
11:34:55 AM  1000    107231   71.00   18.00    0.00    3.00   89.00     2  component_conta
11:34:56 AM  1000    107231   71.00   17.00    0.00    1.00   88.00     4  component_conta
11:34:57 AM  1000    107231   62.00   16.00    0.00    1.00   78.00     7  component_conta
11:34:58 AM  1000    107231   55.00   16.00    0.00    0.00   71.00    11  component_conta
11:34:59 AM  1000    107231   55.00   16.00    0.00    1.00   71.00     2  component_conta
11:35:00 AM  1000    107231   58.00   15.00    0.00    0.00   73.00     3  component_conta
11:35:01 AM  1000    107231   57.00   17.00    0.00    0.00   74.00     8  component_conta
11:35:02 AM  1000    107231   59.00   15.00    0.00    1.00   74.00     1  component_conta
11:35:03 AM  1000    107231   54.00   17.00    0.00    0.00   71.00     8  component_conta
11:35:04 AM  1000    107231   56.00   17.00    0.00    0.00   73.00     0  component_conta
11:35:05 AM  1000    107231   55.00   17.00    0.00    1.00   72.00     4  component_conta
11:35:06 AM  1000    107231   55.00   16.00    0.00    0.00   71.00     6  component_conta
11:35:07 AM  1000    107231   53.00   17.00    0.00    0.00   70.00    10  component_conta
11:35:08 AM  1000    107231   56.00   14.00    0.00    0.00   70.00    11  component_conta
11:35:09 AM  1000    107231   59.00   15.00    0.00    1.00   74.00    10  component_conta
11:35:10 AM  1000    107231   56.00   15.00    0.00    1.00   71.00    10  component_conta
11:35:11 AM  1000    107231   58.00   16.00    0.00    0.00   74.00     3  component_conta
11:35:12 AM  1000    107231   56.00   16.00    0.00    1.00   72.00     1  component_conta
11:35:13 AM  1000    107231   56.00   17.00    0.00    0.00   73.00     5  component_conta
11:35:14 AM  1000    107231   60.00   17.00    0.00    2.00   77.00     0  component_conta
11:35:15 AM  1000    107231   57.00   19.00    0.00    0.00   76.00     1  component_conta
11:35:16 AM  1000    107231   52.00   17.00    0.00    2.00   69.00     4  component_conta
11:35:17 AM  1000    107231   53.00   16.00    0.00    0.00   69.00     8  component_conta
11:35:18 AM  1000    107231   53.00   16.00    0.00    1.00   69.00     8  component_conta
11:35:19 AM  1000    107231   53.00   17.00    0.00    0.00   70.00     2  component_conta
11:35:20 AM  1000    107231   53.00   17.00    0.00    0.00   70.00    11  component_conta
11:35:21 AM  1000    107231   55.00   16.00    0.00    1.00   71.00     2  component_conta
11:35:22 AM  1000    107231   54.00   17.00    0.00    0.00   71.00     1  component_conta
11:35:23 AM  1000    107231   55.00   15.00    0.00    0.00   70.00     7  component_conta
11:35:24 AM  1000    107231   57.00   17.00    0.00    0.00   74.00     5  component_conta
11:35:25 AM  1000    107231   58.00   16.00    0.00    1.00   74.00     9  component_conta
11:35:26 AM  1000    107231   57.00   16.00    0.00    1.00   73.00    11  component_conta
11:35:27 AM  1000    107231   55.00   16.00    0.00    0.00   71.00    10  component_conta
11:35:28 AM  1000    107231   59.00   14.00    0.00    1.00   73.00     2  component_conta
11:35:29 AM  1000    107231   58.00   17.00    0.00    0.00   75.00     0  component_conta
11:35:30 AM  1000    107231   57.00   15.00    0.00    1.00   72.00     0  component_conta
11:35:31 AM  1000    107231   58.00   16.00    0.00    0.00   74.00     9  component_conta
11:35:32 AM  1000    107231   56.00   14.00    0.00    0.00   70.00     7  component_conta
11:35:33 AM  1000    107231   53.00   18.00    0.00    1.00   71.00    10  component_conta
11:35:34 AM  1000    107231   58.00   14.00    0.00    0.00   72.00     5  component_conta
11:35:35 AM  1000    107231   56.00   19.00    0.00    1.00   75.00     0  component_conta
11:35:36 AM  1000    107231   57.00   17.00    0.00    1.00   74.00     7  component_conta
11:35:37 AM  1000    107231   56.00   17.00    0.00    1.00   73.00     0  component_conta
11:35:38 AM  1000    107231   56.00   18.00    0.00    0.00   74.00    10  component_conta
11:35:39 AM  1000    107231   57.00   17.00    0.00    1.00   74.00    10  component_conta
11:35:40 AM  1000    107231   55.00   18.00    0.00    1.00   73.00     0  component_conta
11:35:41 AM  1000    107231   53.00   15.00    0.00    0.00   68.00    11  component_conta
11:35:42 AM  1000    107231   51.00   17.00    0.00    0.00   68.00     0  component_conta
11:35:43 AM  1000    107231   54.00   17.00    0.00    1.00   71.00     0  component_conta
11:35:44 AM  1000    107231   55.00   16.00    0.00    1.00   71.00    11  component_conta
11:35:45 AM  1000    107231   55.00   14.00    0.00    0.00   69.00     6  component_conta
11:35:46 AM  1000    107231   54.46   15.84    0.00    0.00   70.30     3  component_conta
11:35:47 AM  1000    107231   59.00   17.00    0.00    1.00   76.00     8  component_conta
11:35:48 AM  1000    107231   59.00   16.00    0.00    1.00   75.00    10  component_conta
11:35:49 AM  1000    107231   58.00   16.00    0.00    0.00   74.00     4  component_conta
11:35:50 AM  1000    107231   55.00   16.00    0.00    0.00   71.00     8  component_conta
11:35:51 AM  1000    107231   52.00   17.00    0.00    0.00   69.00     2  component_conta
11:35:52 AM  1000    107231   55.00   15.00    0.00    1.00   70.00     4  component_conta
11:35:53 AM  1000    107231   56.00   16.00    0.00    1.00   72.00     2  component_conta
11:35:54 AM  1000    107231   55.00   17.00    0.00    0.00   72.00     0  component_conta
11:35:55 AM  1000    107231   57.00   15.00    0.00    1.00   72.00    11  component_conta
11:35:56 AM  1000    107231   54.00   17.00    0.00    0.00   71.00    11  component_conta
11:35:57 AM  1000    107231   54.00   17.00    0.00    1.00   71.00     3  component_conta
11:35:58 AM  1000    107231   55.00   17.00    0.00    1.00   72.00     8  component_conta
11:35:59 AM  1000    107231   57.00   17.00    0.00    1.00   74.00     0  component_conta
11:36:00 AM  1000    107231   56.00   16.00    0.00    0.00   72.00     6  component_conta
11:36:01 AM  1000    107231   56.00   14.00    0.00    1.00   70.00     2  component_conta
11:36:02 AM  1000    107231   58.00   15.00    0.00    0.00   73.00     2  component_conta
11:36:03 AM  1000    107231   54.00   16.00    0.00    1.00   70.00     5  component_conta
11:36:04 AM  1000    107231   54.00   15.00    0.00    0.00   69.00    10  component_conta
11:36:05 AM  1000    107231   56.00   15.00    0.00    1.00   71.00     8  component_conta
11:36:06 AM  1000    107231   52.00   18.00    0.00    0.00   70.00     1  component_conta
11:36:07 AM  1000    107231   57.00   14.00    0.00    0.00   71.00    11  component_conta
11:36:08 AM  1000    107231   52.00   15.00    0.00    0.00   67.00     2  component_conta
11:36:09 AM  1000    107231   55.00   17.00    0.00    1.00   72.00     1  component_conta
11:36:10 AM  1000    107231   58.00   17.00    0.00    1.00   75.00     5  component_conta
11:36:11 AM  1000    107231   60.00   16.00    0.00    1.00   76.00     5  component_conta
11:36:12 AM  1000    107231   60.00   14.00    0.00    1.00   74.00     4  component_conta
11:36:13 AM  1000    107231   57.00   16.00    0.00    0.00   73.00     3  component_conta
11:36:14 AM  1000    107231   52.00   20.00    0.00    1.00   72.00     1  component_conta
11:36:15 AM  1000    107231   57.00   17.00    0.00    0.00   74.00    11  component_conta
11:36:16 AM  1000    107231   54.00   14.00    0.00    0.00   68.00     0  component_conta
11:36:17 AM  1000    107231   55.00   16.00    0.00    1.00   71.00     3  component_conta
11:36:18 AM  1000    107231   56.00   15.00    0.00    0.00   71.00    11  component_conta
11:36:19 AM  1000    107231   54.00   15.00    0.00    0.00   69.00     6  component_conta
11:36:20 AM  1000    107231   54.00   14.00    0.00    0.00   68.00     7  component_conta
11:36:21 AM  1000    107231   50.00   16.00    0.00    1.00   66.00     1  component_conta
11:36:22 AM  1000    107231   53.00   14.00    0.00    0.00   67.00     0  component_conta
11:36:23 AM  1000    107231   53.00   16.00    0.00    0.00   69.00     7  component_conta
11:36:24 AM  1000    107231   54.00   16.00    0.00    0.00   70.00     5  component_conta
11:36:25 AM  1000    107231   55.00   17.00    0.00    0.00   72.00     9  component_conta
11:36:26 AM  1000    107231   56.00   16.00    0.00    1.00   72.00     0  component_conta
11:36:27 AM  1000    107231   59.00   16.00    0.00    1.00   75.00     6  component_conta
11:36:28 AM  1000    107231   55.00   18.00    0.00    0.00   73.00    10  component_conta
11:36:29 AM  1000    107231   53.00   18.00    0.00    1.00   71.00    10  component_conta
11:36:30 AM  1000    107231   54.00   17.00    0.00    0.00   71.00     2  component_conta
11:36:31 AM  1000    107231   54.00   16.00    0.00    1.00   70.00     5  component_conta
11:36:32 AM  1000    107231   54.00   17.00    0.00    0.00   71.00     6  component_conta
11:36:33 AM  1000    107231   58.00   17.00    0.00    1.00   75.00     6  component_conta
11:36:34 AM  1000    107231   57.00   18.00    0.00    1.00   75.00    11  component_conta
11:36:35 AM  1000    107231   60.00   16.00    0.00    0.00   76.00     2  component_conta
11:36:36 AM  1000    107231   56.00   15.00    0.00    1.00   71.00     8  component_conta
11:36:37 AM  1000    107231   54.00   18.00    0.00    0.00   72.00    10  component_conta
11:36:38 AM  1000    107231   52.00   16.00    0.00    1.00   68.00     0  component_conta
11:36:39 AM  1000    107231   54.00   16.00    0.00    0.00   70.00     0  component_conta
11:36:40 AM  1000    107231   55.00   15.00    0.00    0.00   70.00     7  component_conta
11:36:41 AM  1000    107231   53.00   18.00    0.00    1.00   71.00     3  component_conta
11:36:42 AM  1000    107231   53.00   16.00    0.00    0.00   69.00     3  component_conta
